Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita},Total alcohol consumption per capita,Internet 2015,Obesity Percentage
Switzerland,Western Europe,1,7.587000000000001,1.3965100000000001,11.579999923706055,87.4790556,19.1
Iceland,Western Europe,2,7.561,1.3023200000000001,8.739999771118164,98.2,21.5
Denmark,Western Europe,3,7.527,1.32548,10.359999656677246,96.33050162,19.3
Norway,Western Europe,4,7.522,1.459,7.519999980926514,96.81032569,22.6
Canada,North America,5,7.4270000000000005,1.32629,8.880000114440918,90.0,28.8
Finland,Western Europe,6,7.406000000000001,1.29025,11.18000030517578,86.42213333,21.8
Netherlands,Western Europe,7,7.377999999999999,1.32944,9.550000190734863,91.72413793,20.0
Sweden,Western Europe,8,7.364,1.33171,9.130000114440918,90.61019664,20.2
New Zealand,Australia and New Zealand,9,7.2860000000000005,1.2501799999999998,10.4399995803833,85.2,30.2
Australia,Australia and New Zealand,10,7.284,1.33358,10.829999923706056,84.56051491,28.4
Israel,Middle East and Northern Africa,11,7.278,1.2285700000000002,3.859999895095825,77.35208966,25.8
Costa Rica,Latin America and Caribbean,12,7.226,0.95578,4.760000228881836,59.76295014,25.0
Austria,Western Europe,13,7.2,1.33723,12.06999969482422,83.94014193,19.7
Mexico,Latin America and Caribbean,14,7.187,1.02054,4.920000076293945,57.43104299,28.3
Brazil,Latin America and Caribbean,16,6.983,0.98124,7.860000133514403,58.32795173,21.6
Luxembourg,Western Europe,17,6.946000000000001,1.5639100000000001,13.18000030517578,96.37671417,22.2
Ireland,Western Europe,18,6.94,1.33596,12.470000267028807,83.49479167,24.7
Belgium,Western Europe,19,6.937,1.30782,11.81999969482422,85.05294175,21.7
United Arab Emirates,Middle East and Northern Africa,20,6.901,1.42727,3.7899999618530273,90.5,31.0
Oman,Middle East and Northern Africa,22,6.853,1.36011,0.7699999809265137,73.53,26.3
Singapore,Southeastern Asia,24,6.797999999999999,1.52186,2.0699999332427983,83.2,6.0
