Country Name,Country Code,Series Name,Series Code,2015 [YR2015]
Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,8.26
Albania,ALB,Individuals using the Internet (% of population),IT.NET.USER.ZS,56.9
Algeria,DZA,Individuals using the Internet (% of population),IT.NET.USER.ZS,38.2
American Samoa,ASM,Individuals using the Internet (% of population),IT.NET.USER.ZS,..
Andorra,AND,Individuals using the Internet (% of population),IT.NET.USER.ZS,87.9
Angola,AGO,Individuals using the Internet (% of population),IT.NET.USER.ZS,22
Antigua and Barbuda,ATG,Individuals using the Internet (% of population),IT.NET.USER.ZS,70
Argentina,ARG,Individuals using the Internet (% of population),IT.NET.USER.ZS,68.04306411
Armenia,ARM,Individuals using the Internet (% of population),IT.NET.USER.ZS,59.10083377
Aruba,ABW,Individuals using the Internet (% of population),IT.NET.USER.ZS,88.66122693
Australia,AUS,Individuals using the Internet (% of population),IT.NET.USER.ZS,84.56051491
Austria,AUT,Individuals using the Internet (% of population),IT.NET.USER.ZS,83.94014193
Azerbaijan,AZE,Individuals using the Internet (% of population),IT.NET.USER.ZS,77
"Bahamas, The",BHS,Individuals using the Internet (% of population),IT.NET.USER.ZS,78
Bahrain,BHR,Individuals using the Internet (% of population),IT.NET.USER.ZS,93.4783008
Bangladesh,BGD,Individuals using the Internet (% of population),IT.NET.USER.ZS,12.9
Barbados,BRB,Individuals using the Internet (% of population),IT.NET.USER.ZS,76.11
Belarus,BLR,Individuals using the Internet (% of population),IT.NET.USER.ZS,62.23036091
Belgium,BEL,Individuals using the Internet (% of population),IT.NET.USER.ZS,85.05294175
Belize,BLZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,41.59
Benin,BEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,11.25498791
Bermuda,BMU,Individuals using the Internet (% of population),IT.NET.USER.ZS,98.32360965
Bhutan,BTN,Individuals using the Internet (% of population),IT.NET.USER.ZS,39.8
Bolivia,BOL,Individuals using the Internet (% of population),IT.NET.USER.ZS,37.49
Bosnia and Herzegovina,BIH,Individuals using the Internet (% of population),IT.NET.USER.ZS,52.6
Botswana,BWA,Individuals using the Internet (% of population),IT.NET.USER.ZS,37.31205037
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,58.32795173
British Virgin Islands,VGB,Individuals using the Internet (% of population),IT.NET.USER.ZS,..
Brunei Darussalam,BRN,Individuals using the Internet (% of population),IT.NET.USER.ZS,71.2
